run,idx,key,phase,action_to_base_rgb_ms,action_to_next_ready_ms,denoise_ms,fwd1_ms,fwd2_ms,fwd3_ms,clean_kv_ms,action_prepare_ms,tae_first_rgb_ms,global_end_index,local_end_index,queue_wait_ms
r2c-ex00-240,239,w,maturity,999.13,1328.05,963.96,333.13,315.91,314.92,307.91,0.14091702178120613,21.33215602952987,241920,12096,0.1
r2c-ex00-240,240,w,maturity,986.33,1317.14,954.92,327.76,315.01,312.16,309.73,0.03018905408680439,21.33088605478406,242928,12096,0.09
r4hot-ex03-12,1,w,,636.5,857.61,600.55,199.95,200.42,200.18,202.13,0.11537689715623856,20.759221981279552,2016,2016,0.12
r4hot-ex03-12,2,w,,659.08,875.94,632.67,212.27,210.18,210.21,197.93,0.06517802830785513,20.424850983545184,3024,3024,0.29
r4hot-ex03-12,3,w,,686.62,923.51,655.03,211.65,222.2,221.18,216.59,0.13337598647922277,20.625274977646768,4032,4032,0.11
r4hot-ex03-12,4,w,,736.5,984.91,706.12,236.21,235.35,234.56,227.88,0.14228594955056906,21.050685085356236,5040,5040,0.07
r4hot-ex03-12,5,w,,770.17,1031.33,741.51,252.67,244.44,244.41,241.37,0.1641659764572978,21.232419996522367,6048,6048,0.1
r4hot-ex03-12,6,w,,804.35,1077.73,773.03,257.23,258.05,257.75,252.63,0.14619599096477032,21.660758065991104,7056,7056,0.15
r4hot-ex03-12,7,w,,830.01,1113.77,799.26,266.33,266.91,266.02,262.9,0.11362694203853607,21.253689075820148,8064,8064,0.1
r4hot-ex03-12,8,w,,866.69,1160.83,835.84,277.96,280.39,277.49,272.92,0.0884870532900095,21.65720798075199,9072,9072,0.08
r4hot-ex03-12,9,w,,897.69,1203.11,867.0,288.99,289.85,288.16,285.14,0.10102696251124144,21.562781068496406,10080,10080,0.1
r4hot-ex03-12,10,w,,928.83,1241.13,898.01,301.01,299.77,297.23,291.79,0.15198602341115475,21.19579096324742,11088,11088,0.12
r4hot-ex03-12,11,w,,984.54,1305.68,949.95,323.0,315.12,311.83,300.98,0.13668590690940619,21.216529072262347,12096,12096,0.15
r4hot-ex03-12,12,w,,981.68,1305.78,949.65,326.93,312.57,310.15,303.44,0.08947798050940037,21.86916198115796,13104,12096,0.12
r5q-queue,1,w,serial,617.39,823.63,583.93,203.38,191.19,189.36,187.0,0.08549692574888468,19.224219024181366,2016,2016,0.11
r5q-queue,2,w,serial,657.12,885.79,629.09,207.65,206.38,215.06,208.47,0.09130698163062334,20.542911952361465,3024,3024,0.13
r5q-queue,3,w,serial,703.13,944.91,673.38,226.0,224.03,223.35,220.96,0.18199405167251825,20.670177997089922,4032,4032,0.11
r5q-queue,4,w,serial,736.89,985.28,706.77,235.11,236.5,235.17,228.73,0.08275697473436594,20.866542006842792,5040,5040,0.1
r5q-queue,5,w,pipelined,776.06,1037.84,747.18,253.88,248.26,245.04,241.71,0.07848802488297224,20.783386076800525,6048,6048,0.53
r5q-queue,6,w,pipelined,1138.17,1408.58,772.61,257.01,258.23,257.36,250.36,0.6017190171405673,21.013697027228773,7056,7056,334.37
r5q-queue,8,w,pipelined,849.21,1130.41,802.51,268.21,267.72,266.57,261.01,0.19866297952830791,20.922919968143106,8064,8064,16.03
r5q-queue,9,w,pipelined,1295.23,1585.83,837.63,281.41,279.16,277.06,270.02,0.07823703344911337,20.988808013498783,9072,9072,428.63
r5q-queue,11,w,pipelined,1084.25,1382.77,865.62,290.15,287.28,288.19,278.54,0.22260204423218966,20.932340994477272,10080,10080,189.14
r5q-queue,12,w,pipelined,1610.24,1923.56,899.1,300.27,299.82,299.0,293.44,0.14464498963207006,21.23249100986868,11088,11088,681.24
